adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/iffzIhuLAO38Po6sh1s6ZEVwlNL.jpg,"[28, 80]",24,en,Kill Bill: Vol. 1,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",15.4245,/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg,2003-10-10,Kill Bill: Vol. 1,False,7.97,18650
False,/mzFjAVLdZAD6UDT5BMRItHL5IVf.jpg,"[12, 878]",329,en,Jurassic Park,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",10.6292,/maFjKnJ62hDQ9E66dKqDZgbUy0H.jpg,1993-06-11,Jurassic Park,False,7.966,17595
False,/OR8oloCZ3klJtB7Y0i8pSqWw5a.jpg,"[53, 12]",213,en,North by Northwest,"Advertising man Roger Thornhill is mistaken for a spy, triggering a deadly cross-country chase.",5.2604,/kNOFPQrel9YFCVzI0DF8FnCEpCw.jpg,1959-08-06,North by Northwest,False,8.0,4442
False,/26drTTwx0CGdcYpjhJfhxTgRWRr.jpg,[35],38286,it,Tre uomini e una gamba,"Friends Aldo, Giovanni, and Giacomo cross Italy from north to south for Giacomo's wedding: the father of the bride, a despotic magnate who is both their boss and father-in-law—since Aldo and Giovanni have also married into the family not for love but for money, a fate now awaiting Giacomo—has entrusted them with a priceless piece of modern art, one that looks just like a rather unremarkable wooden leg.",8.9667,/yhgfM1WTHu4Uiwa47FAGmBk4V7x.jpg,1997-12-27,Three Men and a Leg,False,7.965,2146
False,/vuglA60RqvpHK9rIcG8sXaiWw1L.jpg,"[18, 35, 10749]",11104,cn,重慶森林,"Two melancholic Hong Kong policemen fall in love: one with a mysterious underworld figure, the other with a beautiful and ethereal server at a late-night restaurant.",8.7876,/43I9DcNoCzpyzK8JCkJYpHqHqGG.jpg,1994-07-14,Chungking Express,False,7.964,2129
False,/dcvbs8z0GEXslC1kCT77x19XDeR.jpg,"[10402, 18]",424694,en,Bohemian Rhapsody,"Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs become instant classics. When Mercury's increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess.",10.7719,/lHu1wtNaczFPGFDTrjCSzeLPTKN.jpg,2018-10-24,Bohemian Rhapsody,False,7.961,17588
False,/7JqWWLCajnt6XWCrRlgvtsYP0u6.jpg,"[28, 18]",678512,en,Sound of Freedom,"The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.",8.1548,/qA5kPYZA7FkVvqcEfJRoOy4kpHg.jpg,2023-07-03,Sound of Freedom,False,7.96,2696
False,/jqha8JCXm0aJ5SJ03Jd0JmGgWRs.jpg,"[18, 36]",895,ru,Андрей Рублёв,"An expansive Russian drama, this film focuses on the life of revered religious icon painter Andrei Rublev. Drifting from place to place in a tumultuous era, the peace-seeking monk eventually gains a reputation for his art. But after Rublev witnesses a brutal battle and unintentionally becomes involved, he takes a vow of silence and spends time away from his work. As he begins to ease his troubled soul, he takes steps towards becoming a painter once again.",8.6503,/910xRIUmNJrWH2hkQifBJtoPp5R.jpg,1966-12-16,Andrei Rublev,False,8.0,925
False,/hGGC9gKo7CFE3fW07RA587e5kol.jpg,"[16, 35, 10751, 12]",14160,en,Up,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",15.6069,/mFvoEwSfLqbcWwFsDjQebn9bzFe.jpg,2009-05-28,Up,False,7.959,21409
False,/dkfBKDUIWP1peEszdqK10MkMZCP.jpg,"[18, 80]",627,en,Trainspotting,"Heroin addict Mark Renton stumbles through bad ideas and sobriety attempts with his unreliable friends --Sick Boy, Begbie, Spud and Tommy. He also has an underage girlfriend, Diane, along for the ride. After cleaning up and moving from Edinburgh to London, Mark finds he can't escape the life he left behind as Begbie and Sick Boy come knocking.",10.665,/y0HmDV0bZDTtXWHqqYYbT9XoshB.jpg,1996-02-23,Trainspotting,False,7.959,10254
False,/7g5v2zXedkwiFqDlWqcoRUUQYD6.jpg,"[18, 28, 35]",11712,ja,椿三十郎,"Toshiro Mifune swaggers and snarls to brilliant comic effect in Kurosawa's tightly paced, beautifully composed ""Sanjuro."" In this companion piece and sequel to ""Yojimbo,"" jaded samurai Sanjuro helps an idealistic group of young warriors weed out their clan's evil influences, and in the process turns their image of a proper samurai on its ear.",6.5125,/zW47oIH3bc3ggmmmzTvKqM4Fqjk.jpg,1962-01-01,Sanjuro,False,8.0,705
