movie_id,person_id,name,job,department
490,6648,Ingmar Bergman,Screenplay,Writing
1422,1032,Martin Scorsese,Director,Directing
1422,16729,Graham King,Producer,Production
1422,1298,Brad Grey,Producer,Production
1422,287,Brad Pitt,Producer,Production
1422,34510,William Monahan,Screenplay,Writing
1422,117,Howard Shore,Original Music Composer,Sound
489,5216,Gus Van Sant,Director,Directing
489,2545,Lawrence Bender,Producer,Production
489,531,Danny Elfman,Original Music Composer,Sound
476292,57304,Kenji Kawai,Original Music Composer,Sound
476292,3147169,Nobuhiro Takenaka,Producer,Production
476292,1817521,Tomomi Kyotani,Producer,Production
476292,1257117,Mari Okada,Screenplay,Writing
476292,3173280,Nobuhiro Kikuchi,Producer,Production
476292,3173279,Naoko Endo,Producer,Production
476292,1257117,Mari Okada,Director,Directing
111,1150,Brian De Palma,Director,Directing
111,1152,Oliver Stone,Screenplay,Writing
111,1154,Giorgio Moroder,Original Music Composer,Sound
111,1151,Martin Bregman,Producer,Production
399106,8012,Alan Barillaro,Director,Directing
399106,1703199,Marc Sondheimer,Producer,Production
399106,229620,Adrian Belew,Original Music Composer,Sound
37165,2690,Peter Weir,Director,Directing
37165,8685,Andrew Niccol,Producer,Production
37165,11302,Edward S. Feldman,Producer,Production
37165,2997,Scott Rudin,Producer,Production
37165,11303,Adam Schroeder,Producer,Production
37165,1188738,Burkhard von Dallwitz,Original Music Composer,Sound
37165,1551,Philip Glass,Original Music Composer,Sound
37165,1400,Wojciech Kilar,Original Music Composer,Sound
20941,46085,Luis Mandoki,Director,Directing
20941,1346271,Elba Luis Lugo,Producer,Production
20941,54983,André Abujamra,Original Music Composer,Sound
20941,2545,Lawrence Bender,Producer,Production
20941,46085,Luis Mandoki,Producer,Production
20941,1723681,Alejandro Soberón Kuri,Producer,Production
426,2636,Alfred Hitchcock,Producer,Production
426,1045,Bernard Herrmann,Original Music Composer,Sound
426,2636,Alfred Hitchcock,Director,Directing
426,5735,Alec Coppel,Screenplay,Writing
426,5736,Samuel A. Taylor,Screenplay,Writing
81481,929598,Mowg,Original Music Composer,Sound
81481,1294471,Hwang Dong-hyuk,Director,Directing
81481,1294471,Hwang Dong-hyuk,Screenplay,Writing
81481,4272,Bae Jeong-min,Producer,Production
10098,13848,Charlie Chaplin,Director,Directing
10098,13848,Charlie Chaplin,Producer,Production
10098,13848,Charlie Chaplin,Original Music Composer,Sound
289,4109,Michael Curtiz,Director,Directing
289,2666,Philip G. Epstein,Screenplay,Writing
289,4123,Hal B. Wallis,Producer,Production
289,2665,Julius J. Epstein,Screenplay,Writing
289,4508,Howard Koch,Screenplay,Writing
289,3249,Max Steiner,Original Music Composer,Sound
9702,67834,Floyd Mutrux,Screenplay,Writing
9702,58653,Jimmy Santiago Baca,Screenplay,Writing
9702,53634,Jerry Gershwin,Producer,Production
9702,57650,Jeremy Iacone,Screenplay,Writing
9702,18596,Taylor Hackford,Producer,Production
9702,10494,Bill Conti,Original Music Composer,Sound
9702,18596,Taylor Hackford,Director,Directing
851644,2378215,Bang Woo-ri,Director,Directing
851644,4038042,Kim Yong-eun,Producer,Production
851644,69085,Dalpalan,Original Music Composer,Sound
280,2710,James Cameron,Producer,Production
280,2710,James Cameron,Director,Directing
280,2722,Brad Fiedel,Original Music Composer,Sound
280,30148,Van Ling,Producer,Production
517814,53431,Nadine Labaki,Director,Directing
517814,53436,Khaled Mouzanar,Original Music Composer,Sound
517814,1386894,Michel Merkt,Producer,Production
517814,53436,Khaled Mouzanar,Producer,Production
797,6648,Ingmar Bergman,Screenplay,Writing
797,11904,Lars Johan Werle,Original Music Composer,Sound
797,6648,Ingmar Bergman,Producer,Production
797,6648,Ingmar Bergman,Director,Directing
872,13284,Stanley Donen,Director,Directing
872,13286,Adolph Green,Screenplay,Writing
