movie_id,file_path,iso_639_1,vote_average,vote_count,width,height
263115,/fnbjcRDYn6YviCcePDnGdyAkYsB.jpg,en,1.882,55,2000,3000
263115,/2dBjfntdxZ1A1XjjyAAwhn922cL.jpg,en,9.18,12,2000,3000
263115,/lLpyZ9W6C0tU9LqT23fwvNIzVgH.jpg,en,8.362,6,2000,3000
862,/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,en,4.954,32,1000,1500
862,/1Lxqh5rFjMVMW4BUyGx4wIYQCYx.jpg,en,5.778,18,1500,2250
862,/bVqDDZlTGFB42ea5kBSEptOhrIO.jpg,en,5.476,22,2000,3000
585,/wFSpyMsp7H0ttERbxY7Trlv8xry.jpg,en,7.076,13,2000,3000
585,/qjlbN6aK1qgeg3SspFVovT2D1Me.jpg,en,6.722,9,2000,3000
585,/uG034IRI6lMd99WfzmrWSOARWZG.jpg,en,6.722,6,951,1426
281957,/ji3ecJphATlVgWNY0B0RVXZizdf.jpg,en,6.042,13,1400,2100
281957,/tSaBkriE7TpbjFoQUFXuikoz0dF.jpg,en,5.778,9,2000,3000
281957,/wkA03WX3IdHYMX2gIxaCwqowQX.jpg,en,5.778,9,2000,3000
12,/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg,en,5.742,29,1000,1500
12,/5lc6nQc0VhWFYFbNv016xze8Jvy.jpg,en,5.456,23,1496,2244
12,/axyrDKJmQpynKOESqxO2wKmhj9n.jpg,en,5.25,8,2000,3000
37165,/vuza0WqY239yBXOadKlGwJsZJFE.jpg,en,4.818,33,1400,2100
37165,/cOkoQaOPZBxqxQYlGu2i0o00sLn.jpg,en,9.508,20,2000,3000
37165,/67KjyFo3PFoYCqyhnagRINg9ALK.jpg,en,8.034,5,1000,1500
346364,/9E2y5Q7WlCVNEhP5GiVTjhEhx1o.jpg,en,7.626,68,2000,3000
346364,/s5M7kRJGlyFJ9yGS5hsfJ1x5wRb.jpg,en,6.312,8,1000,1500
346364,/fCKQZkjxD4nkuI27lxit2wXN3Cu.jpg,en,5.566,30,800,1200
210577,/ts996lKsxvjkO2yiYG0ht4qAicO.jpg,en,7.19,7,1166,1717
210577,/1qi55eCNOoW21XJ24VoK2PUi56A.jpg,en,5.786,8,2000,3000
210577,/yOGG2o157R4b5XpfiRVRrVqMRIx.jpg,en,5.25,8,2000,3000
